Place,Player,Registration code,Advertiser,Profile,Cardroom,Chips,Bets + fees,Total win,Jackpot win
1,Shewore45sky,8567296520,defaultskypoker.com,-,skypoker.com,10113200,€1.00,€0.00,0
1,HeavenlyPerle,8567022586,defaulthollandcasino,-,hollandcasino,30098200,€1.00,€0.00,0
1,pokermasster43,8566521145,defaulthollandcasino,-,hollandcasino,6570800,€1.00,€0.00,0
1,maurochjr,8567307885,pokercash,-,championpoker,8669000,€1.00,€0.00,0
22,cloudjolly552,8567304935,defaultnovibet.gr,-,novibet.gr,0,€1.00,€0.00,0
23,pablo505,8567292648,defaultteammexico.mx,-,teammexico.mx,0,€1.00,€0.00,0
24,arpaduv23,8567308349,no_affiliate_cz,-,bifortuna.cz,0,€1.00,€0.00,0
25,heylad,8567308122,default3g,-,boylepokeruw4,0,€1.00,€0.00,0
26,Mykz,8567308274,default7z,-,paddypowerpoker.com,0,€1.00,€0.00,0
27,oo0I0oo,8567303106,default2k,-,bet365poker.bg,0,€1.00,€0.00,0
28,sobanek615,8567307650,no_affiliate_cz,-,bifortuna.cz,0,€1.00,€0.00,0
29,arpaduv23,8567284175,no_affiliate_cz,-,bifortuna.cz,0,€1.00,€0.00,0
30,heylad,8567307591,default3g,-,boylepokeruw4,0,€1.00,€0.00,0
31,Mykz,8567307497,default7z,-,paddypowerpoker.com,0,€1.00,€0.00,0
32,chaz61,8567303633,defaultbetfredew5,-,betfredew5,0,€1.00,€0.00,0
33,fighterhammer84,8567278964,default7z,-,paddypowerpoker.com,0,€1.00,€0.00,0
34,Marcofat23,8567282802,defaultteammexico.mx,-,teammexico.mx,0,€1.00,€0.00,0
35,ELRUSO1969,8567243791,defaultvx,-,redstar,0,€1.00,€0.00,0
36,Sstevenn07,8567288946,bet365,-,bet365poker,0,€1.00,€0.00,0
37,Juanchizzzzz,8567278914,defaultbetsson.pe,-,betsson.pe,0,€1.00,€0.00,0
38,vydok66,8567280452,vojtovosazeni,-,bifortuna.cz,0,€1.00,€0.00,0
1,PrinsThor,8568137625,default8t,-,coolbet,7663800,€1.00,€0.00,0
1,Hockfan,8568129267,default5x,-,bet365poker.se,2336200,€1.00,€0.00,0
3,M4jkynho,8568133078,no_affiliate_cz,-,bifortuna.cz,0,€1.00,€0.00,0
4,elph,8568134761,bet365,-,bet365poker,0,€1.00,€0.00,0
5,Topchen1,8568109749,defaultfm,-,swisscasino.ch,0,€1.00,€0.00,0
6,PrinsThor,8568135750,default8t,-,coolbet,0,€1.00,€0.00,0
7,JonnyboyLA,8568125868,bet365,a,bet365poker,0,€1.00,€0.00,0
8,oldtimemag,8568133070,defaultgrosvenor.poker,-,grosvenor.poker,0,€1.00,€0.00,0
9,oldtimemag,8568126196,defaultgrosvenor.poker,-,grosvenor.poker,0,€1.00,€0.00,0
10,borisatac,8568124569,defaultvx,-,redstar,0,€1.00,€0.00,0
1,ninjaeasy269,8568381208,default8t,-,coolbet,2762200,€1.00,€0.00,0
1,lukas202,8568367155,no_affiliate_cz,-,bifortuna.cz,4198100,€1.00,€0.00,0
1,MariaBetanio,8568397193,pokercash,-,championpoker,6029000,€1.00,€0.00,0
1,Andy333,8568359145,defaultbetfredew5,-,betfredew5,3124200,€1.00,€0.00,0
1,Bromden78,8568381789,default7z,-,paddypowerpoker.com,7255900,€1.00,€0.00,0
1,doowyah,8568366041,BetfairOG,-,betfairpoker,2809100,€1.00,€0.00,0
1,Jozef6664,8568392493,no_affiliate_cz,-,bifortuna.cz,6821500,€1.00,€0.00,0
8,said819878,8568374657,defaultvx,-,redstar,0,€1.00,€0.00,0
